Model	Tumor Type	Treatment	Volume (mm3)	body weight (g)	Days Post T0	% TVol Difference	% BW Difference
X-1004	BRCA	BYL719 + LEE011	870.7	23.7	35	191.7	-10.9
X-1004	BRCA	BYL719 + LJM716	200.6	26.1	0	0	0
X-1004	BRCA	BYL719 + LJM716	171.3	24.9	4	-14.6	-4.6
X-1004	BRCA	BYL719 + LJM716	246.2	25	11	22.7	-4.2
X-1004	BRCA	BYL719 + LJM716	246.7	21.9	15	23	-16.1
X-1004	BRCA	BYL719 + LJM716	271.6	22.4	18	35.4	-14.2
X-1004	BRCA	BYL719 + LJM716	260.4	23.7	22	29.8	-9.2
X-1004	BRCA	BYL719 + LJM716	256.1	24.4	25	27.7	-6.5
X-1004	BRCA	BYL719 + LJM716	424	24.1	29	111.4	-7.7
X-1004	BRCA	BYL719 + LJM716	620.8	24.4	32	209.5	-6.5
X-1004	BRCA	BYL719 + LJM716	747.2	25.2	34	272.5	-3.4
X-1004	BRCA	BYL719	203.4	31.7	0	0	0
X-1004	BRCA	BYL719	214.7	30.2	7	5.6	-4.7
X-1004	BRCA	BYL719	248.8	30.7	11	22.3	-3.2
X-1004	BRCA	BYL719	260.4	29.4	14	28	-7.3
X-1004	BRCA	BYL719	244.1	30.6	18	20	-3.5
X-1004	BRCA	BYL719	264.4	29.4	21	30	-7.3
X-1004	BRCA	BYL719	288.6	28.8	25	41.9	-9.1
X-1004	BRCA	BYL719	350.9	28.5	28	72.5	-10.1
X-1004	BRCA	BYL719	396.2	29.8	32	94.8	-6
X-1004	BRCA	BYL719	492.7	31.2	35	142.2	-1.6
X-1004	BRCA	BYL719	716.1	31.8	39	252.1	0.3
X-1004	BRCA	BYL719	882	29.9	42	333.6	-5.7
X-1004	BRCA	CGM097	294.9	28.2	0	0	0
X-1004	BRCA	CGM097	395.6	30.4	4	34.1	7.8
X-1004	BRCA	CGM097	604.3	30.7	11	104.9	8.9
X-1004	BRCA	CGM097	780.5	31.5	15	164.7	11.7
X-1004	BRCA	CGM097	1342	31.4	18	355.1	11.3
X-1004	BRCA	CLR457	204.1	27	0	0	0
X-1004	BRCA	CLR457	207.8	27.6	2	1.8	2.2
X-1004	BRCA	CLR457	212.4	26.9	5	4.1	-0.4
X-1004	BRCA	CLR457	229.6	26.4	9	12.5	-2.2
X-1004	BRCA	CLR457	223.6	26.6	12	9.6	-1.5
X-1004	BRCA	CLR457	279.5	26.2	16	36.9	-3
X-1004	BRCA	CLR457	260.4	25.8	19	27.6	-4.4
X-1004	BRCA	CLR457	304.5	27.5	23	49.2	1.9
X-1004	BRCA	CLR457	398.5	28.1	26	95.2	4.1
X-1004	BRCA	CLR457	464.9	27.7	30	127.8	2.6
X-1004	BRCA	CLR457	492.2	27.2	33	141.2	0.7
X-1004	BRCA	CLR457	474.4	28.4	37	132.4	5.2
X-1004	BRCA	CLR457	480.4	28.6	40	135.4	5.9
X-1004	BRCA	CLR457	560.2	28.8	44	174.5	6.7
X-1004	BRCA	CLR457	652.1	28.1	47	219.5	4.1
X-1004	BRCA	HDM201	196.6	25	0	0	0
X-1004	BRCA	HDM201	232.1	26.5	4	18.1	6
X-1004	BRCA	HDM201	258.5	26.4	11	31.5	5.6
X-1004	BRCA	HDM201	285.1	NA	15	45	5.6
X-1004	BRCA	HDM201	297.6	25.7	18	51.4	2.8
X-1004	BRCA	HDM201	308.6	25.3	22	57	1.2
X-1004	BRCA	HDM201	358.7	23.8	25	82.5	-4.8
X-1004	BRCA	HDM201	450.4	20.7	29	129.1	-17.2
X-1004	BRCA	HDM201	484.9	17.8	32	146.6	-28.8
X-1004	BRCA	INC424	197	29.5	0	0	0
X-1004	BRCA	INC424	167.4	28.1	4	-15	-4.7
X-1004	BRCA	INC424	169.9	27.6	7	-13.8	-6.4
X-1004	BRCA	INC424	237.5	27.9	11	20.6	-5.4
X-1004	BRCA	INC424	258.4	27.5	14	31.2	-6.8
X-1004	BRCA	INC424	267.2	28.2	18	35.6	-4.4
X-1004	BRCA	INC424	317.4	28.3	21	61.1	-4.1
X-1004	BRCA	INC424	440.9	28.6	25	123.8	-3.1
X-1004	BRCA	INC424	581.9	28.4	28	195.4	-3.7
X-1004	BRCA	INC424	635.7	26.5	32	222.7	-10.2
X-1004	BRCA	INC424	716.2	24.8	35	263.6	-15.9
X-1004	BRCA	LEE011 + everolimus	209.6	26.8	0	0	0
X-1004	BRCA	LEE011 + everolimus	196.2	26.6	4	-6.4	-0.7
X-1004	BRCA	LEE011 + everolimus	178.3	26.3	7	-14.9	-1.9
X-1004	BRCA	LEE011 + everolimus	162.4	27	11	-22.5	0.7
X-1004	BRCA	LEE011 + everolimus	94.3	26.6	18	-55	-0.7
X-1004	BRCA	LEE011 + everolimus	84.6	26.6	21	-59.6	-0.7
X-1004	BRCA	LEE011 + everolimus	94.2	26.9	24	-55.1	0.4
X-1004	BRCA	LEE011 + everolimus	102	27.6	28	-51.3	3
X-1004	BRCA	LEE011 + everolimus	103.2	27.4	31	-50.8	2.2
X-1004	BRCA	LEE011 + everolimus	103.4	27	35	-50.7	0.7
X-1004	BRCA	LEE011 + everolimus	104.2	27.2	38	-50.3	1.5
X-1004	BRCA	LEE011 + everolimus	107.8	27.5	42	-48.6	2.6
X-1004	BRCA	LEE011 + everolimus	81.2	26.8	46	-61.3	0
X-1004	BRCA	LEE011 + everolimus	79.1	26.9	49	-62.3	0.4
X-1004	BRCA	LEE011 + everolimus	74.9	28.2	52	-64.3	5.2
X-1004	BRCA	LEE011 + everolimus	84.8	27.1	56	-59.5	1.1
X-1004	BRCA	LEE011 + everolimus	113.9	27.2	60	-45.7	1.5
X-1004	BRCA	LEE011 + everolimus	114.6	26.6	64	-45.3	-0.7
X-1004	BRCA	LEE011 + everolimus	127.5	27.2	67	-39.2	1.5
X-1004	BRCA	LEE011 + everolimus	113.3	27.3	71	-45.9	1.9
X-1004	BRCA	LEE011 + everolimus	125.3	27.9	75	-40.2	4.1
X-1004	BRCA	LEE011 + everolimus	137.9	26.9	79	-34.2	0.4
X-1004	BRCA	LEE011 + everolimus	136.2	27.1	81	-35	1.1
X-1004	BRCA	LEE011 + everolimus	117.2	26.6	84	-44.1	-0.7
X-1004	BRCA	LEE011 + everolimus	137.6	27.2	88	-34.4	1.5
X-1004	BRCA	LEE011 + everolimus	137.9	27.1	91	-34.2	1.1
X-1004	BRCA	LEE011 + everolimus	143.6	26.7	98	-31.5	-0.4
X-1004	BRCA	LEE011 + everolimus	147.6	27.2	101	-29.6	1.5
X-1004	BRCA	LEE011 + everolimus	156.1	27	105	-25.5	0.7
X-1004	BRCA	LEE011 + everolimus	133.8	27.6	109	-36.2	3
X-1004	BRCA	LEE011 + everolimus	146.5	28.1	116	-30.1	4.9
X-1004	BRCA	LEE011 + everolimus	177.7	28.1	121	-15.2	4.9
X-1004	BRCA	LEE011 + everolimus	189.2	28.6	128	-9.7	6.7
X-1004	BRCA	LEE011 + everolimus	219.7	27.1	134	4.8	1.1
X-1004	BRCA	LEE011 + everolimus	225.7	26.9	144	7.7	0.4
X-1004	BRCA	LEE011 + everolimus	219.2	27	149	4.6	0.7
X-1004	BRCA	LEE011 + everolimus	278.9	27.3	158	33.1	1.9
X-1004	BRCA	LEE011 + everolimus	277.8	27.3	163	32.5	1.9
X-1004	BRCA	LEE011	196.3	27.8	0	0	0
X-1004	BRCA	LEE011	159.2	28.9	3	-18.9	4
X-1004	BRCA	LEE011	158.9	29.2	6	-19.1	5
X-1004	BRCA	LEE011	183	29	10	-6.8	4.3
X-1004	BRCA	LEE011	165.7	29.3	13	-15.6	5.4
X-1004	BRCA	LEE011	199	29.5	17	1.4	6.1
X-1004	BRCA	LEE011	247.3	29.2	20	26	5
X-1004	BRCA	LEE011	255.2	30.6	24	30	10.1
X-1004	BRCA	LEE011	266.8	29.8	27	35.9	7.2
X-1004	BRCA	LEE011	245.9	29.8	31	25.3	7.2
X-1004	BRCA	LEE011	257	30.7	34	30.9	10.4
X-1004	BRCA	LEE011	291.5	30.5	37	48.5	9.7
X-1004	BRCA	LEE011	329.4	31.2	41	67.8	12.2
X-1004	BRCA	LEE011	350.1	31.2	44	78.3	12.2
X-1004	BRCA	LEE011	385.6	30.7	48	96.4	10.4
X-1004	BRCA	LEE011	412	32	51	109.9	15.1
X-1004	BRCA	LEE011	453.8	31.3	55	131.2	12.6
X-1004	BRCA	LEE011	501.7	31.7	59	155.6	14
X-1004	BRCA	LEE011	583.5	32.4	62	197.2	16.5
X-1004	BRCA	LEE011	749.2	31.9	65	281.7	14.7
X-1004	BRCA	LEE011	952.1	30.8	69	385	10.8
X-1004	BRCA	LEE011	990.4	31	73	404.5	11.5
X-1004	BRCA	LEE011	1091.3	32.9	77	455.9	18.3
X-1004	BRCA	LFA102	253.4	25.1	0	0	0
X-1004	BRCA	LFA102	223	24.7	3	-12	-1.6
X-1004	BRCA	LFA102	305.4	26.3	6	20.5	4.8
X-1004	BRCA	LFA102	417.1	26.6	13	64.6	6
X-1004	BRCA	LFA102	841.7	27.5	17	232.2	9.6
X-1004	BRCA	LFA102	1212.5	27.9	20	378.5	11.2
X-1004	BRCA	LJM716	199.2	27.9	0	0	0
X-1004	BRCA	LJM716	180.4	27.9	4	-9.4	0
X-1004	BRCA	LJM716	242	26.6	11	21.5	-4.7
X-1004	BRCA	LJM716	259.7	26.9	15	30.4	-3.6
X-1004	BRCA	LJM716	256.2	27.4	18	28.6	-1.8
X-1004	BRCA	LJM716	333.5	27.4	22	67.4	-1.8
X-1004	BRCA	LJM716	403	26.9	25	102.3	-3.6
X-1004	BRCA	LJM716	584.3	26.6	29	193.3	-4.7
X-1004	BRCA	LJM716	745.2	26.8	32	274.1	-3.9
X-1004	BRCA	LJM716	839.9	27.9	34	321.6	0
X-1004	BRCA	LJM716 + trastuzumab	213.1	31.4	0	0	0
X-1004	BRCA	LJM716 + trastuzumab	242.7	30.7	3	13.9	-2.2
X-1004	BRCA	LJM716 + trastuzumab	232.3	30.4	6	9	-3.2
X-1004	BRCA	LJM716 + trastuzumab	224.8	30.5	13	5.5	-2.9
X-1004	BRCA	LJM716 + trastuzumab	248.6	30.9	17	16.7	-1.6
X-1004	BRCA	LJM716 + trastuzumab	278	30.5	20	30.5	-2.9
X-1004	BRCA	LJM716 + trastuzumab	379.4	30.3	24	78	-3.5
X-1004	BRCA	LJM716 + trastuzumab	431.4	28.9	27	102.4	-8
X-1004	BRCA	LJM716 + trastuzumab	553.2	28.1	31	159.6	-10.5
X-1004	BRCA	LJM716 + trastuzumab	694.2	28.5	34	225.8	-9.2
X-1004	BRCA	LKA136	213.1	27.9	0	0	0
X-1004	BRCA	LKA136	173	27.5	2	-18.8	-1.4
X-1004	BRCA	LKA136	190.2	27.5	5	-10.7	-1.4
X-1004	BRCA	LKA136	200.1	26.8	9	-6.1	-3.9
X-1004	BRCA	LKA136	273.8	27.5	12	28.5	-1.4
X-1004	BRCA	LKA136	304.1	28	16	42.7	0.4
X-1004	BRCA	LKA136	309.3	27.8	19	45.1	-0.4
X-1004	BRCA	LKA136	336.9	29.3	23	58.1	5
X-1004	BRCA	LKA136	416.1	29.4	26	95.3	5.4
X-1004	BRCA	LKA136	578.6	27.5	30	171.5	-1.4
X-1004	BRCA	LKA136	703.5	21.5	33	230.1	-22.9
X-1004	BRCA	LLM871	207.4	29.3	0	0	0
X-1004	BRCA	LLM871	195.1	28.8	6	-5.9	-1.7
X-1004	BRCA	LLM871	229.9	29.1	10	10.8	-0.7
X-1004	BRCA	LLM871	292.8	28.9	13	41.2	-1.4
X-1004	BRCA	LLM871	352.9	29.1	17	70.2	-0.7
X-1004	BRCA	LLM871	412.1	30.2	20	98.7	3.1
X-1004	BRCA	LLM871	619.2	30.6	24	198.6	4.4
X-1004	BRCA	LLM871	1212.8	30.5	27	484.8	4.1
X-1004	BRCA	binimetinib	250.8	27.7	0	0	0
X-1004	BRCA	binimetinib	320.4	26.6	3	27.8	-4
X-1004	BRCA	binimetinib	402.3	26.4	7	60.4	-4.7
X-1004	BRCA	binimetinib	382.6	27.6	11	52.6	-0.4
X-1004	BRCA	binimetinib	384	28.2	18	53.1	1.8
X-1004	BRCA	binimetinib	445.9	28.1	22	77.8	1.4
X-1004	BRCA	binimetinib	460.2	27.5	26	83.5	-0.7
X-1004	BRCA	binimetinib	546.8	27.9	30	118	0.7
X-1004	BRCA	binimetinib	554.3	27	32	121	-2.5
X-1004	BRCA	binimetinib	617.9	26.7	35	146.4	-3.6
X-1004	BRCA	paclitaxel	209.1	29.4	0	0	0
X-1004	BRCA	paclitaxel	192.6	29.6	3	-7.9	0.7
X-1004	BRCA	paclitaxel	134.5	29.5	6	-35.7	0.3
X-1004	BRCA	paclitaxel	153.8	29.3	13	-26.4	-0.3
X-1004	BRCA	paclitaxel	189	28.8	17	-9.6	-2
X-1004	BRCA	paclitaxel	201.4	29.4	20	-3.7	0
X-1004	BRCA	paclitaxel	226.6	29.8	24	8.4	1.4
X-1004	BRCA	paclitaxel	277.8	30.4	27	32.9	3.4
X-1004	BRCA	paclitaxel	294.3	30.4	31	40.7	3.4
X-1004	BRCA	paclitaxel	305.1	30.4	34	45.9	3.4
X-1004	BRCA	paclitaxel	336.4	31.6	38	60.9	7.5
X-1004	BRCA	paclitaxel	354.8	32.1	41	69.7	9.2
X-1004	BRCA	paclitaxel	403.8	31.7	45	93.1	7.8
X-1004	BRCA	paclitaxel	464.9	31.7	48	122.3	7.8
X-1004	BRCA	paclitaxel	496.8	32.4	52	137.6	10.2
X-1004	BRCA	paclitaxel	523.3	32.1	55	150.3	9.2
X-1004	BRCA	paclitaxel	555.7	32	59	165.8	8.8
X-1004	BRCA	paclitaxel	611.8	32.4	62	192.6	10.2
X-1004	BRCA	tamoxifen	205	25.3	0	0	0
X-1004	BRCA	tamoxifen	303.8	25.2	4	48.2	-0.4
X-1004	BRCA	tamoxifen	402.4	26.6	11	96.3	5.1
X-1004	BRCA	tamoxifen	634.6	27.6	15	209.6	9.1
X-1004	BRCA	tamoxifen	786.6	28.1	18	283.7	11.1
X-1004	BRCA	tamoxifen	1055.8	28.8	22	415	13.8
X-1004	BRCA	tamoxifen	1452.3	27.9	25	608.4	10.3
X-1004	BRCA	tamoxifen	1863.6	29.2	27	809.1	15.4
X-1004	BRCA	trastuzumab	228.6	28.9	0	0	0
X-1004	BRCA	trastuzumab	211.9	29.4	3	-7.3	1.7
X-1004	BRCA	trastuzumab	184.5	27.7	6	-19.3	-4.2
X-1004	BRCA	trastuzumab	185.9	26.4	13	-18.7	-8.7
X-1004	BRCA	trastuzumab	199.6	26.9	17	-12.7	-6.9
X-1004	BRCA	trastuzumab	239.4	25.7	20	4.7	-11.1
X-1004	BRCA	trastuzumab	218.1	26	24	-4.6	-10
X-1004	BRCA	trastuzumab	261.6	26.8	27	14.4	-7.3
X-1004	BRCA	trastuzumab	381.7	27.3	31	67	-5.5
X-1004	BRCA	trastuzumab	679.1	27.2	34	197.1	-5.9
X-1004	BRCA	trastuzumab	757.3	27.9	36	231.3	-3.5
X-1004	BRCA	untreated	214.1	28	0	0	0
X-1004	BRCA	untreated	301.4	27.8	3	40.8	-0.7
X-1004	BRCA	untreated	324	27.3	6	51.3	-2.5
X-1004	BRCA	untreated	391.4	27	13	82.8	-3.6
X-1004	BRCA	untreated	630.9	26.4	17	194.7	-5.7
X-1004	BRCA	untreated	730.3	27.5	20	241.1	-1.8
X-1004	BRCA	untreated	859.1	27.5	24	301.3	-1.8
X-1004	BRCA	untreated	1030.4	27.7	27	381.3	-1.1
X-1004	BRCA	untreated	1438.2	28.9	29	571.7	3.2
X-1004	BRCA	LFW527 + everolimus	208.64	26.9	0	0	0
X-1004	BRCA	LFW527 + everolimus	170.91	27	3	-18.1	0.4
X-1004	BRCA	LFW527 + everolimus	193.69	26.4	7	-7.2	-1.9
X-1004	BRCA	LFW527 + everolimus	174.64	27.1	9	-16.3	0.7
X-1004	BRCA	LFW527 + everolimus	180.79	26.6	13	-13.3	-1.1
X-1004	BRCA	LFW527 + everolimus	179.16	28.3	17	-14.1	5.2
X-1004	BRCA	LFW527 + everolimus	209.1	28.2	21	0.2	4.8
X-1004	BRCA	LFW527 + everolimus	205.75	27.2	24	-1.4	1.1
X-1004	BRCA	LFW527 + everolimus	185.8	28.6	28	-10.9	6.3
X-1004	BRCA	LFW527 + everolimus	148.07	27.2	31	-29	1.1
X-1004	BRCA	LFW527 + everolimus	185.66	27	35	-11	0.4
X-1004	BRCA	LFW527 + everolimus	174.48	25.8	37	-16.4	-4.1
X-1004	BRCA	LFW527 + everolimus	151.9	25.5	41	-27.2	-5.2
X-1004	BRCA	LFW527 + everolimus	189.25	27.8	44	-9.3	3.3
X-1004	BRCA	LFW527 + everolimus	166.14	26.6	49	-20.4	-1.1
X-1004	BRCA	LFW527 + everolimus	198.14	27.3	52	-5	1.5
X-1004	BRCA	LFW527 + everolimus	171.01	27.1	62	-18	0.7
X-1004	BRCA	LFW527 + everolimus	162.3	28.8	66	-22.2	7.1
X-1004	BRCA	LFW527 + everolimus	124.47	27.8	70	-40.3	3.3
X-1004	BRCA	LFW527 + everolimus	116.65	26.7	73	-44.1	-0.7
X-1004	BRCA	LFW527 + everolimus	134.56	27.7	77	-35.5	3
X-1004	BRCA	LFW527 + everolimus	172.06	28.3	80	-17.5	5.2
X-1004	BRCA	LFW527 + everolimus	204.57	27.5	84	-2	2.2
X-1004	BRCA	LFW527 + everolimus	195.89	27.5	87	-6.1	2.2
X-1004	BRCA	LFW527 + everolimus	205.1	29.4	90	-1.7	9.3
X-1004	BRCA	LFW527 + everolimus	173.31	26.8	94	-16.9	-0.4
X-1004	BRCA	LFW527 + everolimus	118.65	27.9	97	-43.1	3.7
X-1004	BRCA	LFW527 + everolimus	131.76	28	100	-36.8	4.1
X-1004	BRCA	LFW527 + everolimus	153.95	27.6	105	-26.2	2.6
X-1004	BRCA	LFW527 + everolimus	148.12	27.1	108	-29	0.7
X-1004	BRCA	LFW527 + everolimus	112.82	28.2	111	-45.9	4.8
X-1004	BRCA	LFW527 + everolimus	135.67	27.4	114	-35	1.9
X-1004	BRCA	LFW527 + everolimus	207.01	27.9	118	-0.8	3.7
X-1004	BRCA	LFW527 + everolimus	211.42	27.2	121	1.3	1.1
X-1004	BRCA	LFW527 + everolimus	222.38	26.4	125	6.6	-1.9
X-1004	BRCA	LFW527 + everolimus	215.37	26.1	128	3.2	-3
X-1004	BRCA	LFW527 + everolimus	195.96	25.1	132	-6.1	-6.7
X-1004	BRCA	LFW527 + everolimus	255.92	25.3	136	22.7	-5.9
X-1004	BRCA	LFW527 + everolimus	233.54	25.4	139	11.9	-5.6
X-1004	BRCA	LFW527 + everolimus	241.04	25.6	142	15.5	-4.8
X-1004	BRCA	LFW527 + everolimus	308.65	26	146	47.9	-3.3
X-1004	BRCA	LFW527 + everolimus	276.7	25.4	149	32.6	-5.6
X-1004	BRCA	LFW527 + everolimus	282.72	26.3	153	35.5	-2.2
X-1008	BRCA	BGJ398	224.7	26.2	0	0	0
X-1008	BRCA	BGJ398	240.1	27.5	3	6.9	5
X-1008	BRCA	BGJ398	280	27.8	7	24.6	6.1
X-1008	BRCA	BGJ398	284.9	27.7	10	26.8	5.7
X-1008	BRCA	BGJ398	321.9	28.9	17	43.3	10.3
X-1008	BRCA	BGJ398	353.3	NA	20	57.2	10.3
X-1008	BRCA	BGJ398	394.2	28.3	25	75.4	8
X-1008	BRCA	BGJ398	376	27.4	28	67.3	4.6
X-1008	BRCA	BGJ398	431.9	28.3	31	92.2	8
X-1008	BRCA	BGJ398	451.4	29.5	35	100.9	12.6
X-1008	BRCA	BGJ398	500.3	29.6	38	122.7	13
X-1008	BRCA	BGJ398	548.5	29.5	42	144.1	12.6
X-1008	BRCA	BGJ398	613.1	29.5	45	172.9	12.6
X-1008	BRCA	BGJ398	578.4	29.8	49	157.4	13.7
X-1008	BRCA	BGJ398	706.5	28.9	52	214.4	10.3
X-1008	BRCA	BGJ398	760.5	28.9	56	238.5	10.3
X-1008	BRCA	BGJ398	776.7	28.7	59	245.7	9.5
X-1008	BRCA	BGJ398	792.2	29.1	63	252.6	11.1
X-1008	BRCA	BGJ398	840	29.4	66	273.8	12.2
X-1008	BRCA	BGJ398	899.8	29.4	70	300.4	12.2
X-1008	BRCA	BGJ398	882.3	29.1	73	292.7	11.1
X-1008	BRCA	BGJ398	956.2	28.9	76	325.5	10.3
X-1008	BRCA	BGJ398	998.1	29.6	80	344.2	13
X-1008	BRCA	BKM120	278.8	26.8	0	0	0
X-1008	BRCA	BKM120	266	28.6	3	-4.6	6.7
X-1008	BRCA	BKM120	298.4	27.7	7	7	3.4
X-1008	BRCA	BKM120	317.5	28.2	10	13.9	5.2
X-1008	BRCA	BKM120	380.4	28.9	17	36.4	7.8
X-1008	BRCA	BKM120	400.8	29	20	43.8	8.2
X-1008	BRCA	BKM120	392.8	28.3	25	40.9	5.6
X-1008	BRCA	BKM120	379.9	28.5	28	36.3	6.3
X-1008	BRCA	BKM120	363.5	29.2	31	30.4	9
X-1008	BRCA	BKM120	363.2	31.6	35	30.3	17.9
X-1008	BRCA	BKM120	362.5	30.9	38	30	15.3
X-1008	BRCA	BKM120	356.6	31	42	27.9	15.7
X-1008	BRCA	BKM120	371.3	30.2	45	33.2	12.7
X-1008	BRCA	BKM120	351.8	30.7	49	26.2	14.6
X-1008	BRCA	BKM120	349.3	30.5	52	25.3	13.8
X-1008	BRCA	BKM120	379.3	30	56	36	11.9
X-1008	BRCA	BKM120	356.4	30	59	27.8	11.9
X-1008	BRCA	BKM120	421.9	31.2	63	51.3	16.4
X-1008	BRCA	BKM120	407.8	31.5	66	46.3	17.5
X-1008	BRCA	BKM120	418.4	31.2	70	50.1	16.4
X-1008	BRCA	BKM120	429.1	30.7	73	53.9	14.6
X-1008	BRCA	BKM120	418.8	30.5	76	50.2	13.8
X-1008	BRCA	BKM120	403.2	31.2	80	44.6	16.4
X-1008	BRCA	BKM120	461.5	31.5	84	65.5	17.5
X-1008	BRCA	BKM120	566.2	30.9	87	103.1	15.3
X-1008	BRCA	BYL719	257.7	25.2	0	0	0
X-1008	BRCA	BYL719	191.2	26	4	-25.8	3.2
X-1008	BRCA	BYL719	224.7	25.6	7	-12.8	1.6
X-1008	BRCA	BYL719	241.9	25.8	12	-6.1	2.4
X-1008	BRCA	BYL719	234.7	25.4	15	-8.9	0.8
X-1008	BRCA	BYL719	233.5	25.4	18	-9.4	0.8
X-1008	BRCA	BYL719	204.7	26.4	22	-20.6	4.8
X-1008	BRCA	BYL719	224.6	26.8	25	-12.8	6.3
X-1008	BRCA	BYL719	182.5	26.3	29	-29.2	4.4
X-1008	BRCA	BYL719	178.7	25.9	32	-30.7	2.8
X-1008	BRCA	BYL719	193.8	25.9	36	-24.8	2.8
X-1008	BRCA	BYL719	206.6	27.4	39	-19.8	8.7
X-1008	BRCA	BYL719	190.3	25.5	43	-26.2	1.2
X-1008	BRCA	BYL719	192.3	26.2	46	-25.4	4
X-1008	BRCA	BYL719	189.7	26.6	50	-26.4	5.6
X-1008	BRCA	BYL719	179	26.8	53	-30.5	6.3
X-1008	BRCA	BYL719	132.6	27.5	57	-48.5	9.1
X-1008	BRCA	BYL719	127.8	27.4	60	-50.4	8.7
X-1008	BRCA	BYL719	122.8	27	63	-52.3	7.1
X-1008	BRCA	BYL719	119.2	27.7	67	-53.7	9.9
X-1008	BRCA	BYL719	122.3	28	71	-52.5	11.1
X-1008	BRCA	BYL719	114.3	27.6	74	-55.6	9.5
X-1008	BRCA	BYL719	126.9	27.4	78	-50.8	8.7
X-1008	BRCA	BYL719	95	26.3	88	-63.1	4.4
X-1008	BRCA	BYL719 + LJM716	241.5	28.3	0	0	0
X-1008	BRCA	BYL719 + LJM716	186	26.1	3	-23	-7.8
X-1008	BRCA	BYL719 + LJM716	182.3	26.5	6	-24.5	-6.4
X-1008	BRCA	BYL719 + LJM716	177.8	25.5	10	-26.4	-9.9
X-1008	BRCA	BYL719 + LJM716	217.7	25.1	13	-9.9	-11.3
X-1008	BRCA	BYL719 + LJM716	230.6	26.8	17	-4.5	-5.3
X-1008	BRCA	BYL719 + LJM716	324.8	28.5	20	34.5	0.7
X-1008	BRCA	BYL719 + LJM716	339.6	28.1	24	40.6	-0.7
X-1008	BRCA	BYL719 + LJM716	321.4	25.4	27	33.1	-10.2
X-1008	BRCA	BYL719 + LJM716	336.3	25.5	31	39.3	-9.9
X-1008	BRCA	BYL719 + LJM716	345	26.9	34	42.9	-4.9
X-1008	BRCA	BYL719 + LJM716	360.9	27.7	38	49.4	-2.1
X-1008	BRCA	BYL719 + LJM716	416.1	28	41	72.3	-1.1
X-1008	BRCA	BYL719 + LJM716	429.7	27.7	44	77.9	-2.1
X-1008	BRCA	BYL719 + LJM716	431.2	28.3	48	78.6	0
X-1008	BRCA	BYL719 + LJM716	439.5	26.5	52	82	-6.4
X-1008	BRCA	BYL719 + LJM716	471	27.5	55	95	-2.8
X-1008	BRCA	BYL719 + LJM716	458.5	26.1	59	89.9	-7.8
X-1008	BRCA	BYL719 + LJM716	473.7	26.9	69	96.1	-4.9
X-1008	BRCA	BYL719 + LJM716	466.7	27.7	73	93.3	-2.1
X-1008	BRCA	BYL719 + LJM716	483	26.1	76	100	-7.8
X-1008	BRCA	BYL719 + LJM716	493.6	27.7	80	104.4	-2.1
X-1008	BRCA	BYL719 + LJM716	497.7	29	83	106.1	2.5
X-1008	BRCA	BYL719 + LJM716	533.5	27.9	87	120.9	-1.4
X-1008	BRCA	BYL719 + LJM716	540.7	29.4	90	123.9	3.9
X-1008	BRCA	BYL719 + LJM716	544.7	28.4	93	125.5	0.4
X-1008	BRCA	BYL719 + LJM716	572.5	27	97	137.1	-4.6
